iter	Passed	Remaining
0	0	83
1	1	69
2	1	63
3	2	57
4	3	57
5	3	56
6	4	57
7	4	56
8	5	56
9	6	55
10	6	54
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	9	48
17	10	47
18	11	47
19	11	46
20	12	46
21	12	45
22	13	44
23	13	43
24	14	42
25	14	42
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	17	37
32	18	37
33	18	36
34	19	35
35	19	35
36	20	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	22	30
43	23	29
44	23	29
45	24	28
46	24	28
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	37	14
72	37	13
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
